CustomerID,BirthDate,Date Collected,Age,Gender,MonthySpend,
11000,1966-04-08,1998-01-01,31,M,89,89
11001,1965-05-14,1998-01-01,32,M,117,
11002,1965-08-12,1998-01-01,32,M,123,
11166,1972-04-24,1998-01-01,25,F,46,
11459,1972-10-13,1998-01-01,25,F,56,
11005,1965-08-05,1998-01-01,32,M,78,
11462,1972-01-19,1998-01-01,25,F,99,
11007,1964-05-09,1998-01-01,33,M,130,
11463,1972-03-12,1998-01-01,25,F,104,
11009,1964-04-01,1998-01-01,33,M,74,
11482,1972-07-19,1998-01-01,25,F,45,
11011,1963-11-04,1998-01-01,34,M,146,
11628,1972-05-17,1998-01-01,25,F,44,
11013,1968-08-06,1998-01-01,29,M,84,
11636,1972-12-22,1998-01-01,25,F,54,
11015,1979-02-27,1998-01-01,18,F,39,
11016,1979-04-28,1998-01-01,18,M,68,
11019,1978-03-07,1998-01-01,19,M,64,
11020,1978-09-20,1998-01-01,19,M,64,
11023,1978-10-11,1998-01-01,19,M,71,
11024,1978-09-17,1998-01-01,19,M,77,
11025,1945-12-23,1998-01-01,52,M,70,
11026,1946-04-03,1998-01-01,51,M,63,
11027,1946-12-07,1998-01-01,51,M,76,
11028,1946-04-11,1998-01-01,51,F,43,
11031,1947-08-22,1998-01-01,50,F,43,
11032,1947-06-11,1998-01-01,50,F,42,
11033,1947-09-23,1998-01-01,50,M,58,
11034,1947-06-19,1998-01-01,50,F,39,
11035,1948-02-24,1998-01-01,49,F,50,
11036,1978-12-18,1998-01-01,19,F,52,
11037,1977-11-27,1998-01-01,20,F,46,
15127,1975-02-14,1998-01-01,22,M,73,
11040,1977-08-01,1998-01-01,20,M,65,
11041,1977-10-16,1998-01-01,20,F,51,
11042,1977-06-13,1998-01-01,20,F,55,
11043,1976-02-24,1998-01-01,21,M,77,
11044,1949-05-24,1998-01-01,48,M,76,
11045,1950-05-19,1998-01-01,47,M,63,
11046,1950-03-22,1998-01-01,47,F,48,
11047,1950-02-27,1998-01-01,47,F,43,
11049,1980-07-18,1998-01-01,17,F,41,
11050,1951-09-07,1998-01-01,46,M,73,
11051,1951-08-04,1998-01-01,46,M,64,
11052,1951-08-07,1998-01-01,46,F,49,
11053,1980-08-20,1998-01-01,17,F,51,
11637,1972-08-14,1998-01-01,25,F,58,
11055,1952-03-05,1998-01-01,45,M,75,
11639,1972-12-23,1998-01-01,25,F,55,
11057,1953-10-12,1998-01-01,44,M,82,
11058,1954-04-27,1998-01-01,43,M,87,
11788,1972-02-19,1998-01-01,25,F,48,
11060,1954-03-17,1998-01-01,43,M,87,
11061,1954-02-27,1998-01-01,43,M,84,
11062,1975-09-02,1998-01-01,22,M,71,
11063,1975-04-07,1998-01-01,22,F,40,
11064,1975-12-07,1998-01-01,22,M,76,
11065,1973-10-09,1998-01-01,24,F,48,
11066,1973-11-27,1998-01-01,24,F,50,
11067,1976-09-25,1998-01-01,21,M,70,
11070,1955-04-05,1998-01-01,42,M,87,
12048,1972-05-19,1998-01-01,25,F,42,
12382,1972-11-11,1998-01-01,25,F,38,
12386,1972-04-08,1998-01-01,25,F,41,
11074,1956-08-28,1998-01-01,41,M,74,
12387,1972-12-27,1998-01-01,25,F,49,
11076,1957-07-13,1998-01-01,40,M,73,
12388,1972-07-19,1998-01-01,25,F,40,
11078,1974-01-10,1998-01-01,23,F,48,
11079,1959-03-11,1998-01-01,38,M,87,
11080,1959-07-17,1998-01-01,38,M,92,
12390,1972-09-17,1998-01-01,25,F,49,
12530,1972-05-26,1998-01-01,25,F,73,
12681,1972-03-08,1998-01-01,25,F,59,
12685,1972-03-22,1998-01-01,25,F,51,
11086,1957-12-23,1998-01-01,40,M,98,
11088,1957-11-25,1998-01-01,40,M,104,
12686,1972-10-18,1998-01-01,25,F,56,
11090,1957-12-17,1998-01-01,40,M,76,
11091,1957-04-04,1998-01-01,40,M,82,
12688,1972-08-04,1998-01-01,25,F,51,
11094,1962-04-01,1998-01-01,35,M,78,
11095,1962-09-01,1998-01-01,35,M,77,
11096,1962-08-10,1998-01-01,35,M,87,
11097,1961-10-27,1998-01-01,36,M,80,
12689,1972-10-05,1998-01-01,25,F,56,
11099,1961-03-08,1998-01-01,36,M,83,
12733,1972-02-27,1998-01-01,25,F,46,
12734,1972-10-03,1998-01-01,25,F,40,
12736,1972-07-26,1998-01-01,25,F,37,
12740,1972-11-27,1998-01-01,25,F,44,
11104,1964-03-11,1998-01-01,33,M,85,
12742,1972-11-22,1998-01-01,25,F,56,
11106,1964-09-11,1998-01-01,33,M,74,
